LOJA;ITEM ;Rede;STATUS 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;BOBINA 25X35;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;BOBINA 30X40;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;BRAMIL LIXO 100L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;BRAMIL LIXO 100L REF ;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;BRAMIL LIXO 15L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;BRAMIL LIXO 200L REF ;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;BRAMIL LIXO 30L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;BRAMIL LIXO 50L ;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;ECONOMICO 100L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;ECONOMICO 100L ;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;ECONOMICO 15L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;ECONOMICO 30L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;ECONOMICO 50L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;HIPERROLL 100L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;HIPERROLL 15L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;HIPERROLL 30L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;HIPERROLL 50L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;REFORCADO 100L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;REFORCADO 200L;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;SACOLA 29X39;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;SACOLA 29X39 ;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;SACOLA 38X48;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;SACOLA 38X48 ;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;SACOLA VERDE 38X50;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;SACOLA VERDE 40X50;BAHAMAS;ATIVO 
39 - BAHAMAS MIX UBERLANDIA AEROPORTO;BOBINA 20X30;BAHAMAS;ATIVO 
39 - BAHAMAS MIX UBERLANDIA AEROPORTO;BOBINA 25X35;BAHAMAS;ATIVO 
39 - BAHAMAS MIX UBERLANDIA AEROPORTO;BOBINA 30X40;BAHAMAS;ATIVO 
39 - BAHAMAS MIX UBERLANDIA AEROPORTO;BRAMIL LIXO 100L;BAHAMAS;ATIVO 
39 - BAHAMAS MIX UBERLANDIA AEROPORTO;BRAMIL LIXO 100L REF ;BAHAMAS;ATIVO 
39 - BAHAMAS MIX UBERLANDIA AEROPORTO;BRAMIL LIXO 15L;BAHAMAS;ATIVO 
39 - BAHAMAS MIX UBERLANDIA AEROPORTO;BRAMIL LIXO 200L REF ;BAHAMAS;ATIVO 
39 - BAHAMAS MIX UBERLANDIA AEROPORTO;BRAMIL LIXO 30L;BAHAMAS;ATIVO 
39 - BAHAMAS MIX UBERLANDIA AEROPORTO;BRAMIL LIXO 50L ;BAHAMAS;ATIVO 
39 - BAHAMAS MIX UBERLANDIA AEROPORTO;ECONOMICO 100L;BAHAMAS;ATIVO 
